YEAR,DATE,,EVENT,TYPE,OPP,VENUE,CITY,COUNTRY,NZ.SCORE,OPP.SCORE,COACH,CAPTAIN
2010,Aug 18,,Taini Jamison Trophy,,JAM,CBS Canterbury Arena,Christchurch,NZL,58,35,R. Aitken,C. Kopua
2010,Aug 7,,Taini Jamison Trophy,,SAM,Te Rauparaha Arena,Porirua,NZL,92,28,R. Aitken,C. Kopua
2009,Oct 22,,Test Series,,JAM,National Indoor Arena,Kingston,JAM,50,53,R. Aitken,C. Kopua
2009,Oct 20,,Test Series,,JAM,National Indoor Arena,Kingston,JAM,61,56,R. Aitken,C. Kopua
2009,Oct 15,,One Off Test,,ENG,University of Bath,Bath,ENG,65,59,R. Aitken,C. Kopua
2009,Sep 23,,Test Series,,AUS,Vector Arena,Auckland,NZL,52,36,R. Aitken,C. Kopua
2009,Sep 20,,Test Series,,AUS,Stadium Southland,Invercargill,NZL,46,47,R. Aitken,C. Kopua
2009,Sep 13,,Three Test Series,,AUS,Convention & Exhibition Centre,Brisbane,AUS,33,36,R. Aitken,C. Kopua
2009,Sep 9,,Three Test Series,,AUS,Hisense Arena,Melbourne,AUS,44,48,R. Aitken,C. Kopua
2009,Sep 6,,Three Test Series,,AUS,Acer Arena,Sydney,AUS,53,50,R. Aitken,C. Kopua
2009,Aug 29,,Taini Jamison Trophy,,W7,Trusts Stadium,Auckland,NZL,46,41,R. Aitken,C. Kopua
2009,Aug 26,,Taini Jamison Trophy,,W7,Energy Events Centre,Rotorua,NZL,44,53,R. Aitken,C. Kopua
2009,Aug 24,,Taini Jamison Trophy,,W7,TSB Arena,Wellington,NZL,44,48,R. Aitken,C. Kopua
2008,Nov 2,,Test Series,,AUS,Entertainment Centre,Brisbane,AUS,41,43,R. Aitken,L. Langman*
2008,Oct 26,,Test Series,,AUS,Hisense Arena,Melbourne,AUS,46,41,R. Aitken,C. Kopua*
2008,Oct 18,,Taini Jamison Trophy,,ENG,Arena Manawatu,Palmerston North,NZL,61,22,R. Aitken,L. Langman*
2008,Oct 15,,Taini Jamison Trophy,,ENG,Edgar Centre,Dunedin,NZL,38,40,R. Aitken,J. Seymour
2008,Oct 13,,Taini Jamison Trophy,,ENG,Vector Arena,Auckland,NZL,65,26,R. Aitken,J. Seymour
2008,Sep 20,,Test Series,,AUS,Vector Arena,Auckland,NZL,38,31,R. Aitken,J. Seymour
2008,Sep 17,,Test Series,,AUS,Westpac Centre,Christchurch,NZL,51,53,R. Aitken,J. Seymour
2007,Nov 17,,Netball World Cup,Final,AUS,Trusts Stadium,Auckland,NZL,38,42,R. Aitken,A. Wilson
2007,Nov 16,,Netball World Cup,SF,JAM,Trusts Stadium,Auckland,NZL,59,49,R. Aitken,A. Wilson
2007,Nov 15,,Netball World Cup,QF,RSA,Trusts Stadium,Auckland,NZL,82,23,R. Aitken,A. Wilson
2007,Nov 13,,Netball World Cup,,BOT,Trusts Stadium,Auckland,NZL,76,20,R. Aitken,A. Wilson
2007,Nov 12,,Netball World Cup,,WAL,Trusts Stadium,Auckland,NZL,86,24,R. Aitken,A. Wilson
2007,Nov 10,,Netball World Cup,,MAW,Trusts Stadium,Auckland,NZL,85,26,R. Aitken,A. Wilson
2007,Jul 24,,Test Series,,AUS,Distinctive Homes Dome,Adelaide,AUS,47,54,R. Aitken,A. Wilson
2007,Jul 21,,Test Series,,AUS,Vodafone Arena,Melbourne,AUS,67,65,R. Aitken,A. Wilson
2007,Jul 18,,One Off Test,,AUS,Vector Arena,Auckland,NZL,46,53,R. Aitken,A. Wilson
2007,Jul 14,,Test Series,,JAM,Trusts Stadium,Auckland,NZL,68,46,R. Aitken,A. Wilson
2007,Jul 12,,Test Series,,JAM,Westpac Centre,Christchurch,NZL,80,36,R. Aitken,A. Wilson
2007,May 15,,Tri Nations Series,,AUS,National Indoor Arena,Birmingham,ENG,47,50,R. Aitken,A. Wilson
2007,May 13,,Tri Nations Series,,ENG,Evening News Arena,Manchester,ENG,45,50,R. Aitken,A. Wilson
2006,Oct 16,,Three Test Series,,AUS,Westpac Centre,Christchurch,NZL,40,46,R. Aitken,A. Wilson
2006,Oct 14,,Three Test Series,,AUS,Trusts Stadium,Auckland,NZL,43,37,R. Aitken,A. Wilson
2006,Oct 12,,Three Test Series,,AUS,The Events Centre,Wellington,NZL,47,51,R. Aitken,A. Wilson
2006,Jul 31,,One Off Test,,RSA,Trusts Stadium,Auckland,NZL,94,25,R. Aitken,A. Wilson
2006,Jul 25,,Test Series,,AUS,Acer Arena,Sydney,AUS,38,48,R. Aitken,A. Wilson
2006,Jul 22,,Test Series,,AUS,Entertainment Centre,Brisbane,AUS,52,40,R. Aitken,A. Wilson
2006,Mar 26,,Commonwealth Games,Final,AUS,Vodafone Arena,Melbourne,AUS,60,55,R. Aitken,A. Wilson
2006,Mar 25,,Commonwealth Games,SF,JAM,Vodafone Arena,Melbourne,AUS,61,41,R. Aitken,A. Wilson
2006,Mar 23,,Commonwealth Games,,MAW,State Netball Centre,Melbourne,AUS,67,39,R. Aitken,A. Wilson
2006,Mar 22,,Commonwealth Games,,ENG,State Netball Centre,Melbourne,AUS,55,40,R. Aitken,A. Wilson
2006,Mar 21,,Commonwealth Games,,RSA,State Netball Centre,Melbourne,AUS,74,37,R. Aitken,A. Wilson
2006,Mar 19,,Commonwealth Games,,FIJ,State Netball Centre,Melbourne,AUS,80,26,R. Aitken,A. Wilson
2006,Mar 17,,Commonwealth Games,,VIN,State Netball Centre,Melbourne,AUS,98,31,R. Aitken,A. Wilson
2005,Nov 15,,Jamaican Tri Series,,JAM,The Arena,Kingston,JAM,67,32,R. Aitken,A. Wilson
2005,Nov 14,,Jamaican Tri Series,,BAR,The Arena,Kingston,JAM,77,21,R. Aitken,A. Wilson
2005,Nov 13,,Jamaican Tri Series,,JAM,The Arena,Kingston,JAM,57,39,R. Aitken,A. Wilson
2005,Oct 29,,One Off Test,,AUS,Trusts Stadium,Auckland,NZL,61,36,R. Aitken,A. Wilson
2005,Jun 29,,One Off Test,,AUS,SuperDome,Sydney,AUS,50,43,R. Aitken,A. Wilson
2005,Mar 19,,Three Test Series,,ENG,Stadium Southland,Invercargill,NZL,55,40,R. Aitken,A. Wilson
2005,Mar 16,,Three Test Series,,ENG,The Events Centre,Wellington,NZL,74,30,R. Aitken,A. Wilson
2005,Mar 12,,Three Test Series,,ENG,North Shore Events Centre,Auckland,NZL,52,30,R. Aitken,A. Wilson
2004,Nov 20,,Three Test Series,,AUS,Vodafone Arena,Melbourne,AUS,51,53,R. Aitken,A. Wilson
2004,Nov 16,,Three Test Series,,AUS,Challenge Stadium,Perth,AUS,50,42,R. Aitken,A. Wilson
2004,Nov 13,,Three Test Series,,AUS,SuperDome,Sydney,AUS,49,54,R. Aitken,A. Wilson
2004,Jul 5,,Three Test Series,,AUS,Mystery Creek Events Centre,Hamilton,NZL,53,46,R. Aitken,A. Stanley
2004,Jul 2,,Three Test Series,,AUS,Arena Manawatu,Palmerston North,NZL,52,50,R. Aitken,A. Stanley
2004,Jun 30,,Three Test Series,,AUS,Westpac Centre,Christchurch,NZL,54,45,R. Aitken,A. Stanley
2003,Jul 20,,Netball World Cup,Final,AUS,The Arena,Kingston,JAM,49,47,R. Aitken,A. Stanley
2003,Jul 19,,Netball World Cup,SF,JAM,The Arena,Kingston,JAM,56,37,R. Aitken,A. Stanley
2003,Jul 18,,Netball World Cup,QF,SAM,The Arena,Kingston,JAM,81,28,R. Aitken,A. Stanley
2003,Jul 16,,Netball World Cup,,FIJ,The Arena,Kingston,JAM,79,24,R. Aitken,A. Stanley
2003,Jul 15,,Netball World Cup,,ENG,The Arena,Kingston,JAM,60,41,R. Aitken,A. Stanley
2003,Jul 14,,Netball World Cup,,COK,The Arena,Kingston,JAM,107,17,R. Aitken,A. Stanley
2003,Jul 13,,Netball World Cup,,BAR,The Arena,Kingston,JAM,84,45,R. Aitken,A. Stanley
2003,Jul 12,,Netball World Cup,,NIU,The Arena,Kingston,JAM,99,11,R. Aitken,A. Stanley
2003,Jun 13,,Three Test Series,,ENG,North Shore Events Centre,Auckland,NZL,48,41,R. Aitken,A. Stanley
2003,Jun 11,,Three Test Series,,ENG,Queens Wharf Stadium,Wellington,NZL,55,35,R. Aitken,A. Stanley
2003,Jun 9,,Three Test Series,,ENG,Westpac Centre,Christchurch,NZL,65,41,R. Aitken,A. Stanley
2003,Feb 28,,NZ Tour to England,,ENG,London Arena,London,ENG,64,45,R. Aitken,A. Stanley
2003,Feb 26,,NZ Tour to England,,ENG,NEC Arena,Birmingham,ENG,61,40,R. Aitken,A. Stanley
2003,Feb 24,,NZ Tour to England,,ENG,Evening News Arena,Manchester,ENG,52,36,R. Aitken,A. Stanley
2002,Nov 2,,Test Series,,RSA,Westpac Centre,Christchurch,NZL,86,37,R. Aitken,A. Stanley
2002,Nov 1,,Test Series,,RSA,North Shore Events Centre,Auckland,NZL,71,33,R. Aitken,A. Stanley
2002,Aug 4,,Commonwealth Games,Final,AUS,Evening News Arena,Manchester,ENG,55,57,R. Aitken,J. Seymour
2002,Aug 2,,Commonwealth Games,SF,JAM,Evening News Arena,Manchester,ENG,69,51,R. Aitken,J. Seymour
2002,Jul 30,,Commonwealth Games,,WAL,Evening News Arena,Manchester,ENG,81,23,R. Aitken,J. Seymour
2002,Jul 29,,Commonwealth Games,,ENG,Evening News Arena,Manchester,ENG,67,35,R. Aitken,J. Seymour
2002,Jul 28,,Commonwealth Games,,SRI,Evening News Arena,Manchester,ENG,116,26,R. Aitken,J. Seymour
2002,Jul 27,,Commonwealth Games,,CAN,Evening News Arena,Manchester,ENG,101,17,R. Aitken,J. Seymour
2002,Jul 3,,Three Test Series,,BAR,North Shore Events Centre,Auckland,NZL,84,22,R. Aitken,J. Seymour
2002,Jul 1,,Three Test Series,,BAR,Queens Wharf Stadium,Wellington,NZL,87,35,R. Aitken,J. Seymour
2002,Jun 29,,Three Test Series,,BAR,Stadium Southland,Invercargill,NZL,88,27,R. Aitken,J. Seymour
2002,Mar 5,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,44,42,R. Aitken,J. Seymour
2002,Mar 3,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,44,53,R. Aitken,J. Seymour
2002,Mar 2,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,46,44,R. Aitken,J. Seymour
2001,Oct 27,,Three Test Series,,AUS,Westpac Centre,Christchurch,NZL,46,50,Y. Willering,B. Mene
2001,Oct 24,,Three Test Series,,AUS,Stadium Southland,Invercargill,NZL,58,47,Y. Willering,B. Mene
2001,Oct 20,,Three Test Series,,AUS,Queens Wharf Stadium,Wellington,NZL,47,51,Y. Willering,B. Mene
2001,Jul 14,,Three Test Series,,ENG,Mystery Creek Events Centre,Hamilton,NZL,69,47,Y. Willering,B. Mene
2001,Jul 11,,Three Test Series,,ENG,Arena Manawatu,Palmerston North,NZL,65,29,Y. Willering,B. Mene
2001,Jul 7,,Three Test Series,,ENG,Stadium Southland,Invercargill,NZL,78,30,Y. Willering,B. Mene
2001,Jun 16,,Tri Nations Series,,AUS,State Sports Centre,Sydney,AUS,52,62,Y. Willering,B. Mene
2001,Jun 15,,Tri Nations Series,,RSA,State Sports Centre,Sydney,AUS,86,30,Y. Willering,B. Mene
2001,Jun 12,,Tri Nations Series,,RSA,AIS Arena,Canberra,AUS,74,37,Y. Willering,B. Mene
2001,Jun 9,,Tri Nations Series,,AUS,State Netball Centre,Melbourne,AUS,55,40,Y. Willering,B. Mene
2000,Nov 29,,Tri Nations Series,,RSA,Pietermaritzburg Girls HS,Pietermaritzburg,RSA,81,35,Y. Willering,B. Mene
2000,Nov 28,,Tri Nations Series,,AUS,Pietermaritzburg Girls HS,Pietermaritzburg,RSA,52,40,Y. Willering,B. Mene
2000,Nov 25,,Tri Nations Series,,RSA,Velodrome,Cape Town,RSA,88,34,Y. Willering,B. Mene
2000,Jul 8,,Three Test Series,,W7,Mystery Creek Events Centre,Hamilton,NZL,60,47,Y. Willering,B. Mene
2000,Jul 5,,Three Test Series,,W7,Westpac Centre,Christchurch,NZL,52,51,Y. Willering,B. Mene
2000,Jul 1,,Three Test Series,,W7,Events Centre,Wellington,NZL,47,51,Y. Willering,B. Mene
2000,Jun 28,,Test Series,,PAC,Manawatu Sports Stadium,Palmerston North,NZL,64,38,Y. Willering,B. Mene
2000,Jun 27,,Test Series,,PAC,ASB Stadium,Auckland,NZL,77,35,Y. Willering,B. Mene
2000,Jun 20,,One Off Test,,AUS,Entertainment Centre,Newcastle,AUS,30,53,Y. Willering,B. Mene
1999,Oct 2,,Netball World Cup,Final,AUS,Westpac Centre,Christchurch,NZL,41,42,Y. Willering,B. Colling
1999,Oct 1,,Netball World Cup,SF,JAM,Westpac Centre,Christchurch,NZL,55,53,Y. Willering,B. Colling
1999,Sep 30,,Netball World Cup,,FIJ,Westpac Centre,Christchurch,NZL,81,38,Y. Willering,B. Colling
1999,Sep 29,,Netball World Cup,,TTO,Westpac Centre,Christchurch,NZL,74,41,Y. Willering,B. Colling
1999,Sep 28,,Netball World Cup,,BAR,Westpac Centre,Christchurch,NZL,71,35,Y. Willering,B. Colling
1999,Sep 27,,Netball World Cup,,NIR,Westpac Centre,Christchurch,NZL,92,26,Y. Willering,B. Colling
1999,Sep 26,,Netball World Cup,,RSA,Westpac Centre,Christchurch,NZL,68,39,Y. Willering,B. Colling
1999,Sep 25,,Netball World Cup,,COK,Westpac Centre,Christchurch,NZL,74,43,Y. Willering,B. Colling
1999,Sep 23,,Netball World Cup,,WAL,Westpac Centre,Christchurch,NZL,73,27,Y. Willering,B. Colling
1999,Sep 22,,Netball World Cup,,CAN,Westpac Centre,Christchurch,NZL,90,22,Y. Willering,B. Colling
1999,Jun 22,,Three Test Series,,RSA,ASB Stadium,Auckland,NZL,65,47,Y. Willering,B. Colling
1999,Jun 19,,Three Test Series,,RSA,Westpac Centre,Christchurch,NZL,82,39,Y. Willering,B. Colling
1999,Jun 16,,Three Test Series,,RSA,Queens Wharf Stadium,Wellington,NZL,72,33,Y. Willering,B. Colling
1999,Feb 27,,One Off Test,,AUS,Westpac Centre,Christchurch,NZL,60,48,Y. Willering,B. Colling
1999,Feb 7,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,62,47,Y. Willering,B. Colling
1999,Feb 5,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,54,54,Y. Willering,B. Colling
1998,Sep 21,,Commonwealth Games,Final,AUS,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,39,42,Y. Willering,B. Colling
1998,Sep 19,,Commonwealth Games,Semi-Final,ENG,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,70,30,Y. Willering,B. Colling
1998,Sep 18,,Commonwealth Games,,RSA,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,63,35,Y. Willering,B. Colling
1998,Sep 17,,Commonwealth Games,,SRI,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,92,16,Y. Willering,B. Colling
1998,Sep 16,,Commonwealth Games,,WAL,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,94,21,Y. Willering,B. Colling
1998,Sep 15,,Commonwealth Games,,COK,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,90,28,Y. Willering,B. Colling
1998,Sep 14,,Commonwealth Games,,MAW,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,77,41,Y. Willering,B. Colling
1998,May 26,,Three Test Series,,AUS,Edgar Centre,Dunedin,NZL,48,52,Y. Willering,B. Colling
1998,May 23,,Three Test Series,,AUS,Events Centre,Wellington,NZL,49,58,Y. Willering,B. Colling
1998,May 20,,Three Test Series,,AUS,Mystery Creek Stadium,Hamilton,NZL,47,58,Y. Willering,B. Colling
1997,Dec 17,,One Off Test,,MAS,"Stadium Juara, Bukit Kiara",Kuala Lumpur,MAS,69,19,Y. Willering,B. Colling
1997,Dec 13,,NZ Tour to UK,,ENG,Newcastle Arena,Newcastle,ENG,70,45,Y. Willering,B. Colling
1997,Dec 10,,NZ Tour to UK,,ENG,National Indoor Arena,Birmingham,ENG,53,41,Y. Willering,B. Colling
1997,Dec 8,,NZ Tour to UK,,WAL,Welsh Institute,Cardiff,WAL,77,39,Y. Willering,B. Colling
1997,Dec 6,,NZ Tour to UK,,ENG,Brighton Centre,Brighton,ENG,47,35,Y. Willering,B. Colling
1997,Jul 30,,One Off Test,,AUS,Mystery Creek Stadium,Hamilton,NZL,43,49,Y. Willering,B. Mene
1997,May 3,,Three Test Series,,JAM,ASB Stadium,Auckland,NZL,51,47,L. Gibbs,L. Rumball
1997,Apr 29,,One Off Test,,COK,Events Centre,Wellington,NZL,78,39,L. Gibbs,L. Rumball
1997,Apr 26,,Three Test Series,,JAM,Arena Manawatu,Palmerston North,NZL,55,43,L. Gibbs,L. Rumball
1997,Apr 23,,Three Test Series,,JAM,Dunedin Stadium,Dunedin,NZL,64,44,L. Gibbs,L. Rumball
1996,Nov 16,,One Off Test,,AUS,Entertainment Centre,Newcastle,AUS,41,52,L. Gibbs,L. Rumball
1996,Jun 29,,Three Test Series,,AUS,Glasshouse,Melbourne,AUS,35,56,L. Gibbs,L. Rumball
1996,Jun 26,,Three Test Series,,AUS,Clipsal Powerhouse,Adelaide,AUS,39,58,L. Gibbs,L. Rumball
1996,Jun 22,,Three Test Series,,AUS,State Sports Centre,Sydney,AUS,40,49,L. Gibbs,L. Rumball
1996,May 29,,Three Test Series,,RSA,ASB Stadium,Auckland,NZL,60,47,L. Gibbs,L. Rumball
1996,May 25,,Three Test Series,,RSA,Arena Manawatu,Palmerston North,NZL,51,31,L. Gibbs,L. Rumball
1996,May 21,,Three Test Series,,RSA,Dunedin Stadium,Dunedin,NZL,63,39,L. Gibbs,L. Rumball
1995,Jul 28,,Netball World Cup,3v4,ENG,National Indoor Arena,Birmingham,ENG,60,31,L. Gibbs,S. Edge
1995,Jul 27,,Netball World Cup,,COK,National Indoor Arena,Birmingham,ENG,81,49,L. Gibbs,S. Edge
1995,Jul 26,,Netball World Cup,,SAM,National Indoor Arena,Birmingham,ENG,60,31,L. Gibbs,S. Edge
1995,Jul 25,,Netball World Cup,,CAN,National Indoor Arena,Birmingham,ENG,78,37,L. Gibbs,S. Edge
1995,Jul 23,,Netball World Cup,,BAR,National Indoor Arena,Birmingham,ENG,77,44,L. Gibbs,S. Edge
1995,Jul 21,,Netball World Cup,,JAM,National Indoor Arena,Birmingham,ENG,70,52,L. Gibbs,S. Edge
1995,Jul 20,,Netball World Cup,,AUS,National Indoor Arena,Birmingham,ENG,44,45,L. Gibbs,S. Edge
1995,Jul 19,,Netball World Cup,,RSA,National Indoor Arena,Birmingham,ENG,57,59,L. Gibbs,S. Edge
1995,Jul 18,,Netball World Cup,,CAY,National Indoor Arena,Birmingham,ENG,114,15,L. Gibbs,S. Edge
1995,Jul 17,,Netball World Cup,,NAM,National Indoor Arena,Birmingham,ENG,87,22,L. Gibbs,S. Edge
1995,Apr 20,,Three Test Series,,ENG,ASB Stadium,Auckland,NZL,55,36,L. Gibbs,S. Edge
1995,Apr 15,,Three Test Series,,ENG,Arena Manawatu,Palmerston North,NZL,60,36,L. Gibbs,S. Edge
1995,Apr 13,,One Off Test,,SAM,Cowles Stadium,Christchurch,NZL,70,30,L. Gibbs,S. Edge
1995,Apr 11,,Three Test Series,,ENG,Dunedin Stadium,Dunedin,NZL,64,42,L. Gibbs,S. Edge
1995,Mar 1,,One Off Test,,RSA,ASB Stadium,Auckland,NZL,67,49,L. Gibbs,S. Edge
1994,Nov 8,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,72,44,L. Gibbs,S. Edge
1994,Nov 6,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,66,41,L. Gibbs,S. Edge
1994,Nov 2,,NZ Tour to Jamaica,,JAM,National Indoor Arena,Kingston,JAM,71,42,L. Gibbs,S. Edge
1994,May 25,,Three Test Series,,AUS,ASB Stadium,Auckland,NZL,53,49,L. Gibbs,S. Edge
1994,May 21,,Three Test Series,,AUS,Arena Manawatu,Palmerston North,NZL,44,47,L. Gibbs,S. Edge
1994,May 17,,Three Test Series,,AUS,Dunedin Stadium,Dunedin,NZL,49,52,L. Gibbs,S. Edge
1993,Aug 1,,World Games,,AUS,Houstrust,The Hague,NED,36,62,L. Gunson,J. Carter
1993,Jul 31,,World Games,,ENG,Houstrust,The Hague,NED,57,29,L. Gunson,J. Carter
1993,Jul 30,,World Games,,WAL,Houstrust,The Hague,NED,85,23,L. Gunson,J. Carter
1993,Jul 29,,World Games,,JAM,Houstrust,The Hague,NED,60,47,L. Gunson,J. Carter
1993,Jul 28,,World Games,,CAN,Houstrust,The Hague,NED,76,22,L. Gunson,J. Carter
1993,May 22,,Test Series,,COK,Dunedin Stadium,Dunedin,NZL,76,52,L. Gunson,J. Carter
1993,May 15,,Test Series,,NAM,Arena Manawatu,Palmerston North,NZL,94,16,L. Gunson,J. Carter
1993,May 11,,Test Series,,COK,ASB Stadium,Auckland,NZL,71,48,L. Gunson,J. Carter
1992,Nov 14,,NZ Tour to UK,,ENG,Granby Halls,Leicester,ENG,58,33,L. Gunson,J. Carter
